size,time_micros
500,328
600,400
700,691
800,629
900,1637
1000,1519
1100,1179
1200,1576
1300,1517
1400,1361
1500,1466
1600,1333
1700,1417
1800,1507
1900,1596
2000,1683
2100,1767
2200,1590
2300,1441
2400,1526
2500,1645
2600,1648
2700,1727
2800,1794
2900,1928
3000,2121
3100,2008
3200,2079
3300,2153
3400,2202
3500,2287
3600,2332
3700,2444
3800,2484
3900,2581
4000,2614
4100,2716
4200,2787
4300,2841
4400,2927
4500,2975
4600,3047
4700,3125
4800,3217
4900,3315
5000,3366
5100,3489
5200,3505
5300,4947
5400,5060
5500,5502
5600,6495
5700,5706
5800,5331
5900,5596
6000,6131
6100,5417
6200,5126
6300,5066
6400,5374
6500,5581
6600,4534
6700,4596
6800,5371
6900,5480
7000,5595
7100,5691
7200,5745
7300,5891
7400,5923
7500,5995
7600,6109
7700,6183
7800,6266
7900,6353
8000,8830
8100,9466
8200,8179
8300,5769
8400,5853
8500,5920
8600,6048
8700,6135
8800,8200
8900,9285
9000,8855
9100,6355
9200,6639
9300,7106
9400,6921
9500,7568
9600,6763
9700,7745
9800,6907
9900,7872
10000,7572
10100,7663
10200,7849
10300,10619
10400,10368
10500,9996
10600,9488
10700,9873
10800,10365
10900,9352
11000,9535
11100,9558
11200,8667
11300,8850
11400,8342
11500,8823
11600,8917
11700,9006
11800,8528
11900,9649
12000,8642
12100,9772
12200,8898
12300,9462
12400,9497
12500,9089
12600,9823
12700,9410
12800,9596
12900,9814
13000,9644
13100,10007
13200,10047
13300,10525
13400,10239
13500,10250
13600,10976
13700,10152
13800,10247
13900,10945
14000,10747
14100,11223
14200,10873
14300,11296
14400,10430
14500,11075
14600,11527
14700,10666
14800,11129
14900,11331
15000,11304
15100,11427
15200,11650
15300,11558
15400,11712
15500,12371
15600,12093
15700,12006
15800,12620
15900,15674
16000,16735
16100,15910
16200,16213
16300,14249
16400,13395
16500,12960
16600,13276
16700,12758
16800,13106
16900,13512
17000,12950
17100,13217
17200,13282
17300,17049
17400,17609
17500,14339
17600,13478
17700,16097
17800,18126
17900,14693
18000,13961
18100,14175
